parameter,mean,std
Hours_Studied,19.967076631977296,5.993282123197983
Attendance,79.87360454115421,11.519160615499379
Parental_Involvement,1.0857142857142856,0.6955263432306682
Access_to_Resources,1.0980132450331126,0.6975719134177204
Extracurricular_Activities,0.5984862819299905,0.4902508840059646
Sleep_Hours,7.024408703878903,1.4582150847470094
Previous_Scores,75.06111636707664,14.406536988079973
Motivation_Level,0.9017975402081362,0.6941456448483467
Internet_Access,0.9220435193945128,0.2681284597526386
Tutoring_Sessions,1.499526963103122,1.2334635799210396
Family_Income,0.7852412488174078,0.7425186817154139
Teacher_Quality,1.1873226111636708,0.6088159129403158
School_Type,0.30312204351939454,0.45965100605350295
Peer_Influence,1.197918637653737,0.7598678499064055
Physical_Activity,2.968590350047304,1.0339419506189806
Learning_Disabilities,0.10993377483443709,0.3128367910572286
Parental_Education_Level,0.6940397350993377,0.7792082216084387
Distance_from_Home,0.5069063386944181,0.6726795028803216
Gender,0.42213812677388834,0.4939470558810154
